Model inputs
Latitude = 25 deg
Longitude = 26 deg
Lake depth = 27 m
Lake fetch = 2000 m
Extinction coefficient = 1
Initial surface temperature = 8.815 C
Initial mixed layer thickness = 0 m
Initial mean temperature = 8.815 C
Initial bottom temperature = 8.815 C
Initial ice thickness = 0 m
Perpetual-year simulation = Yes

Results from FLAKE simulations.
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s), Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),  Latent heat flux (W/m2),  Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2), surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
294,2015-12-13 12:00,17.5904,17.5904,17.5904,0.165401,0.570363E-02,0.146271E-01,-350.019,-58.1681,-155.253,139.500,264.490,-401.088,27.0000,0.500000,3.00000,4.00000,4.94691,0.00000,0.00000,0.00000,0.00000
295,2015-12-13 18:00,17.5494,17.5494,17.5494,0.154278,0.532049E-02,0.171897E-01,-359.535,-69.4467,-146.362,0.00000,257.135,-400.862,27.0000,0.500000,3.00000,4.00000,4.93197,0.00000,0.00000,0.00000,0.00000
296,2015-12-14 00:00,17.4799,17.4799,17.4799,0.112296,0.387320E-02,0.156668E-01,-282.205,-47.1848,-94.4855,9.30000,259.944,-400.479,27.0000,0.500000,3.00000,4.00000,4.90670,0.00000,0.00000,0.00000,0.00000
297,2015-12-14 06:00,17.4270,17.4270,17.4270,0.135633,0.467862E-02,0.00000,-224.043,-3.40675,-111.267,476.625,290.818,-400.187,27.0000,0.500000,3.00000,4.00000,4.88744,0.00000,0.00000,0.00000,0.00000
298,2015-12-14 12:00,17.4765,17.4742,17.4270,0.849738E-01,0.293086E-02,0.110897E-01,-230.928,-27.2053,-70.4709,134.850,267.208,-400.460,24.4686,0.500000,3.00000,4.00000,4.88744,0.00000,0.00000,0.00000,0.00000
299,2015-12-14 18:00,17.4550,17.4550,17.4550,0.577124E-01,0.199066E-02,0.151095E-01,-245.879,-36.4229,-65.4283,0.00000,256.313,-400.341,27.0000,0.500000,3.00000,4.00000,4.89761,0.00000,0.00000,0.00000,0.00000
300,2015-12-15 00:00,17.4072,17.4072,17.4072,0.387579E-01,0.133699E-02,0.145659E-01,-229.679,-29.2762,-61.9319,9.30000,261.607,-400.078,27.0000,0.500000,3.00000,4.00000,4.88022,0.00000,0.00000,0.00000,0.00000
301,2015-12-15 06:00,17.3643,17.3643,17.3643,0.504957E-01,0.174204E-02,0.00000,-153.663,0.878164E-02,-46.5292,483.600,292.699,-399.842,27.0000,0.500000,3.00000,4.00000,4.86461,0.00000,0.00000,0.00000,0.00000
302,2015-12-15 12:00,17.4308,17.4262,17.3643,0.814165E-01,0.280841E-02,0.109795E-01,-237.080,-26.5136,-76.9083,139.500,266.550,-400.208,23.2923,0.500000,3.00000,4.00000,4.86461,0.00000,0.00000,0.00000,0.00000
303,2015-12-15 18:00,17.4067,17.4067,17.4067,0.531881E-01,0.183478E-02,0.153422E-01,-258.336,-37.8010,-75.7349,0.00000,255.275,-400.075,27.0000,0.500000,3.00000,4.00000,4.88004,0.00000,0.00000,0.00000,0.00000
304,2015-12-16 00:00,17.3566,17.3566,17.3566,0.259005E-01,0.893553E-03,0.149410E-01,-248.101,-33.3868,-73.2952,9.30000,258.381,-399.799,27.0000,0.500000,3.00000,4.00000,4.86179,0.00000,0.00000,0.00000,0.00000
305,2015-12-16 06:00,17.3102,17.3102,17.3102,0.166499,0.574463E-02,0.00000,-284.403,-4.71860,-170.157,478.950,290.016,-399.544,27.0000,0.500000,3.00000,4.00000,4.84490,0.00000,0.00000,0.00000,0.00000
306,2015-12-16 12:00,17.3469,17.3463,17.3102,0.120415,0.415434E-02,0.134094E-01,-305.811,-41.7462,-129.276,137.175,264.957,-399.746,26.1132,0.500000,3.00000,4.00000,4.84490,0.00000,0.00000,0.00000,0.00000
307,2015-12-16 18:00,17.3132,17.3132,17.3132,0.975430E-01,0.336546E-02,0.157085E-01,-279.234,-44.0260,-92.6465,0.00000,257.000,-399.561,27.0000,0.500000,3.00000,4.00000,4.84602,0.00000,0.00000,0.00000,0.00000
308,2015-12-17 00:00,17.2591,17.2591,17.2591,0.106826,0.368613E-02,0.155549E-01,-280.836,-41.9083,-100.901,9.30000,261.237,-399.263,27.0000,0.500000,3.00000,4.00000,4.82633,0.00000,0.00000,0.00000,0.00000
309,2015-12-17 06:00,17.2065,17.2065,17.2065,0.252152,0.870166E-02,0.00000,-298.082,1.32312,-193.009,476.625,292.578,-398.974,27.0000,0.500000,3.00000,4.00000,4.80716,0.00000,0.00000,0.00000,0.00000
310,2015-12-17 12:00,17.2396,17.2396,17.2396,0.128809,0.444484E-02,0.131603E-01,-292.122,-39.7609,-120.582,137.175,267.378,-399.156,27.0000,0.500000,3.00000,4.00000,4.81921,0.00000,0.00000,0.00000,0.00000
311,2015-12-17 18:00,17.2092,17.2092,17.2092,0.938981E-01,0.324036E-02,0.155039E-01,-270.577,-41.1231,-88.0322,0.00000,257.567,-398.988,27.0000,0.500000,3.00000,4.00000,4.80813,0.00000,0.00000,0.00000,0.00000
312,2015-12-18 00:00,17.1567,17.1567,17.1567,0.924734E-01,0.319153E-02,0.148615E-01,-247.877,-35.7835,-74.5185,9.30000,261.126,-398.700,27.0000,0.500000,3.00000,4.00000,4.78904,0.00000,0.00000,0.00000,0.00000
313,2015-12-18 06:00,17.1103,17.1103,17.1103,0.204285,0.705109E-02,0.00000,-275.041,1.70005,-170.721,476.625,292.425,-398.446,27.0000,0.500000,3.00000,4.00000,4.77217,0.00000,0.00000,0.00000,0.00000
314,2015-12-18 12:00,17.1480,17.1478,17.1103,0.113541,0.391870E-02,0.124536E-01,-268.765,-33.0168,-105.605,137.175,268.509,-398.652,26.8224,0.500000,3.00000,4.00000,4.77217,0.00000,0.00000,0.00000,0.00000
315,2015-12-18 18:00,17.1219,17.1219,17.1219,0.111549,0.385014E-02,0.154961E-01,-271.960,-44.0368,-89.9676,0.00000,260.553,-398.509,27.0000,0.500000,3.00000,4.00000,4.77636,0.00000,0.00000,0.00000,0.00000
316,2015-12-19 00:00,17.0692,17.0692,17.0692,0.136685,0.471820E-02,0.161268E-01,-316.381,-53.3971,-125.169,9.30000,260.405,-398.219,27.0000,0.500000,3.00000,4.00000,4.75717,0.00000,0.00000,0.00000,0.00000
317,2015-12-19 06:00,17.0098,17.0098,17.0098,0.288758,0.996875E-02,0.00000,-315.242,-6.27508,-199.983,476.625,288.909,-397.894,27.0000,0.500000,3.00000,4.00000,4.73555,0.00000,0.00000,0.00000,0.00000
318,2015-12-19 12:00,17.0396,17.0396,17.0396,0.144237,0.497918E-02,0.131004E-01,-294.522,-47.9486,-113.081,139.500,264.565,-398.057,27.0000,0.500000,3.00000,4.00000,4.74641,0.00000,0.00000,0.00000,0.00000
319,2015-12-19 18:00,17.0092,17.0092,17.0092,0.112731,0.389178E-02,0.155489E-01,-277.125,-47.7075,-89.5703,0.00000,258.043,-397.890,27.0000,0.500000,3.00000,4.00000,4.73533,0.00000,0.00000,0.00000,0.00000
320,2015-12-20 00:00,16.9555,16.9555,16.9555,0.115503,0.398791E-02,0.151768E-01,-267.380,-41.5181,-90.8489,9.30000,262.583,-397.596,27.0000,0.500000,3.00000,4.00000,4.71579,0.00000,0.00000,0.00000,0.00000
321,2015-12-20 06:00,16.9054,16.9054,16.9054,0.194231,0.670676E-02,0.00000,-274.491,-4.51943,-161.407,471.975,288.758,-397.322,27.0000,0.500000,3.00000,4.00000,4.69757,0.00000,0.00000,0.00000,0.00000
322,2015-12-20 12:00,16.9423,16.9421,16.9054,0.130076,0.449117E-02,0.130067E-01,-291.836,-41.9119,-117.637,137.175,265.238,-397.524,26.6900,0.500000,3.00000,4.00000,4.69757,0.00000,0.00000,0.00000,0.00000
323,2015-12-20 18:00,16.9118,16.9118,16.9118,0.907336E-01,0.313298E-02,0.153408E-01,-268.150,-42.6870,-82.1945,0.00000,254.088,-397.356,27.0000,0.500000,3.00000,4.00000,4.69989,0.00000,0.00000,0.00000,0.00000
324,2015-12-21 00:00,16.8598,16.8598,16.8598,0.665178E-01,0.229706E-02,0.147748E-01,-249.131,-36.0889,-70.5189,9.30000,254.548,-397.072,27.0000,0.500000,3.00000,4.00000,4.68097,0.00000,0.00000,0.00000,0.00000
325,2015-12-21 06:00,16.8132,16.8132,16.8132,0.172844,0.596937E-02,0.00000,-286.612,-8.69117,-167.238,485.925,286.134,-396.817,27.0000,0.500000,3.00000,4.00000,4.66402,0.00000,0.00000,0.00000,0.00000
326,2015-12-21 12:00,16.8508,16.8503,16.8132,0.121559,0.419787E-02,0.131524E-01,-303.350,-43.8638,-124.545,139.500,262.081,-397.022,26.2757,0.500000,3.00000,4.00000,4.66402,0.00000,0.00000,0.00000,0.00000
327,2015-12-21 18:00,16.8182,16.8182,16.8182,0.938955E-01,0.324275E-02,0.154727E-01,-277.134,-47.2264,-84.5343,0.00000,251.470,-396.844,27.0000,0.500000,3.00000,4.00000,4.66583,0.00000,0.00000,0.00000,0.00000
328,2015-12-22 00:00,16.7645,16.7645,16.7645,0.968229E-01,0.334420E-02,0.151985E-01,-272.373,-44.0159,-86.6272,9.30000,254.821,-396.550,27.0000,0.500000,3.00000,4.00000,4.64629,0.00000,0.00000,0.00000,0.00000
329,2015-12-22 06:00,16.7135,16.7135,16.7135,0.221789,0.766123E-02,0.00000,-254.405,-0.146722,-147.996,462.675,290.008,-396.271,27.0000,0.500000,3.00000,4.00000,4.62773,0.00000,0.00000,0.00000,0.00000
330,2015-12-22 12:00,16.7523,16.7523,16.7523,0.170489,0.588872E-02,0.127821E-01,-279.755,-32.4999,-124.946,132.525,274.174,-396.483,27.0000,0.500000,3.00000,4.00000,4.64185,0.00000,0.00000,0.00000,0.00000
331,2015-12-22 18:00,16.7234,16.7234,16.7234,0.154520,0.533744E-02,0.155473E-01,-283.255,-52.8120,-96.5591,0.00000,262.442,-396.325,27.0000,0.500000,3.00000,4.00000,4.63132,0.00000,0.00000,0.00000,0.00000
332,2015-12-23 00:00,16.6686,16.6686,16.6686,0.138560,0.478666E-02,0.152194E-01,-275.468,-52.2852,-87.0758,9.30000,259.918,-396.025,27.0000,0.500000,3.00000,4.00000,4.61136,0.00000,0.00000,0.00000,0.00000
333,2015-12-23 06:00,16.6170,16.6170,16.6170,0.281695,0.973238E-02,0.00000,-295.484,0.169627,-189.658,471.975,289.748,-395.744,27.0000,0.500000,3.00000,4.00000,4.59259,0.00000,0.00000,0.00000,0.00000
334,2015-12-23 12:00,16.6497,16.6497,16.6497,0.143968,0.497370E-02,0.131028E-01,-299.706,-44.0679,-124.897,139.500,265.181,-395.922,27.0000,0.500000,3.00000,4.00000,4.60450,0.00000,0.00000,0.00000,0.00000
335,2015-12-23 18:00,16.6183,16.6183,16.6183,0.115125,0.397748E-02,0.153965E-01,-277.378,-50.3092,-86.9572,0.00000,255.639,-395.751,27.0000,0.500000,3.00000,4.00000,4.59308,0.00000,0.00000,0.00000,0.00000
336,2015-12-24 00:00,16.5646,16.5646,16.5646,0.113725,0.392952E-02,0.151240E-01,-272.643,-48.2618,-85.3020,9.30000,256.379,-395.458,27.0000,0.500000,3.00000,4.00000,4.57353,0.00000,0.00000,0.00000,0.00000
337,2015-12-24 06:00,16.5136,16.5136,16.5136,0.184170,0.636423E-02,0.00000,-250.372,3.02193,-148.932,476.625,290.717,-395.179,27.0000,0.500000,3.00000,4.00000,4.55495,0.00000,0.00000,0.00000,0.00000
338,2015-12-24 12:00,16.5563,16.5558,16.5136,0.121990,0.421518E-02,0.120034E-01,-266.393,-32.9051,-105.980,141.825,267.905,-395.412,26.3521,0.500000,3.00000,4.00000,4.55495,0.00000,0.00000,0.00000,0.00000
339,2015-12-24 18:00,16.5312,16.5312,16.5312,0.969925E-01,0.335159E-02,0.150820E-01,-262.533,-39.9797,-84.3765,0.00000,257.098,-395.275,27.0000,0.500000,3.00000,4.00000,4.56137,0.00000,0.00000,0.00000,0.00000
340,2015-12-25 00:00,16.4804,16.4804,16.4804,0.919347E-01,0.317713E-02,0.144270E-01,-239.341,-35.3947,-67.7880,9.30000,258.840,-394.998,27.0000,0.500000,3.00000,4.00000,4.54285,0.00000,0.00000,0.00000,0.00000
341,2015-12-25 06:00,16.4357,16.4357,16.4357,0.199668,0.690086E-02,0.00000,-224.567,10.2863,-133.734,476.625,293.635,-394.754,27.0000,0.500000,3.00000,4.00000,4.52659,0.00000,0.00000,0.00000,0.00000
342,2015-12-25 12:00,16.4833,16.4828,16.4357,0.103928,0.359159E-02,0.107184E-01,-229.600,-26.5722,-76.7312,144.150,268.717,-395.013,26.5151,0.500000,3.00000,4.00000,4.52659,0.00000,0.00000,0.00000,0.00000
343,2015-12-25 18:00,16.4657,16.4657,16.4657,0.652332E-01,0.225443E-02,0.144963E-01,-234.342,-31.0203,-65.3309,0.00000,256.927,-394.918,27.0000,0.500000,3.00000,4.00000,4.53751,0.00000,0.00000,0.00000,0.00000
344,2015-12-26 00:00,16.4202,16.4202,16.4202,0.838207E-01,0.289707E-02,0.143929E-01,-238.818,-31.7003,-71.4276,9.30000,258.979,-394.670,27.0000,0.500000,3.00000,4.00000,4.52095,0.00000,0.00000,0.00000,0.00000
345,2015-12-26 06:00,16.3756,16.3756,16.3756,0.144210,0.498472E-02,0.00000,-224.529,11.7380,-137.481,485.925,295.640,-394.427,27.0000,0.500000,3.00000,4.00000,4.50472,0.00000,0.00000,0.00000,0.00000
346,2015-12-26 12:00,16.4265,16.4245,16.3756,0.102400,0.353916E-02,0.112325E-01,-255.202,-27.4261,-100.656,148.800,267.585,-394.704,24.9547,0.500000,3.00000,4.00000,4.50472,0.00000,0.00000,0.00000,0.00000
347,2015-12-26 18:00,16.4034,16.4034,16.4034,0.948166E-01,0.327722E-02,0.148417E-01,-252.760,-35.8779,-81.4117,0.00000,259.108,-394.578,27.0000,0.500000,3.00000,4.00000,4.51484,0.00000,0.00000,0.00000,0.00000
348,2015-12-27 00:00,16.3544,16.3544,16.3544,0.894853E-01,0.309324E-02,0.142219E-01,-231.890,-32.4918,-65.0604,9.30000,259.973,-394.311,27.0000,0.500000,3.00000,4.00000,4.49701,0.00000,0.00000,0.00000,0.00000
349,2015-12-27 06:00,16.3112,16.3112,16.3112,0.165291,0.571411E-02,0.00000,-210.671,19.0660,-134.175,476.625,298.513,-394.075,27.0000,0.500000,3.00000,4.00000,4.48126,0.00000,0.00000,0.00000,0.00000
350,2015-12-27 12:00,16.3623,16.3610,16.3112,0.122344,0.422901E-02,0.106978E-01,-235.105,-24.2634,-89.1874,146.475,272.700,-394.354,25.6259,0.500000,3.00000,4.00000,4.48126,0.00000,0.00000,0.00000,0.00000
351,2015-12-27 18:00,16.3432,16.3432,16.3432,0.853950E-01,0.295192E-02,0.142591E-01,-225.237,-29.8977,-61.9118,0.00000,260.823,-394.250,27.0000,0.500000,3.00000,4.00000,4.49293,0.00000,0.00000,0.00000,0.00000
352,2015-12-28 00:00,16.2995,16.2995,16.2995,0.601756E-01,0.208032E-02,0.137828E-01,-212.748,-26.1235,-52.6411,9.30000,260.029,-394.012,27.0000,0.500000,3.00000,4.00000,4.47701,0.00000,0.00000,0.00000,0.00000
353,2015-12-28 06:00,16.2599,16.2599,16.2599,0.115433,0.399092E-02,0.00000,-171.046,9.72495,-82.3304,476.625,295.356,-393.796,27.0000,0.500000,3.00000,4.00000,4.46259,0.00000,0.00000,0.00000,0.00000
354,2015-12-28 12:00,16.3220,16.3172,16.2599,0.127606,0.441124E-02,0.105623E-01,-243.997,-28.0582,-92.6440,148.800,270.840,-394.134,22.8831,0.500000,3.00000,4.00000,4.46259,0.00000,0.00000,0.00000,0.00000
355,2015-12-28 18:00,16.2982,16.2982,16.2982,0.120169,0.415435E-02,0.149635E-01,-261.244,-41.1814,-87.4979,0.00000,261.440,-394.005,27.0000,0.500000,3.00000,4.00000,4.47656,0.00000,0.00000,0.00000,0.00000
356,2015-12-29 00:00,16.2476,16.2476,16.2476,0.135716,0.469227E-02,0.151672E-01,-281.792,-49.8526,-97.4351,9.30000,259.226,-393.730,27.0000,0.500000,3.00000,4.00000,4.45813,0.00000,0.00000,0.00000,0.00000
357,2015-12-29 06:00,16.1949,16.1949,16.1949,0.299788,0.103660E-01,0.00000,-258.986,4.27565,-159.388,471.975,289.568,-393.443,27.0000,0.500000,3.00000,4.00000,4.43893,0.00000,0.00000,0.00000,0.00000
358,2015-12-29 12:00,16.2346,16.2346,16.2346,0.161228,0.557448E-02,0.120602E-01,-275.266,-37.9275,-112.510,148.800,268.830,-393.659,27.0000,0.500000,3.00000,4.00000,4.45339,0.00000,0.00000,0.00000,0.00000
359,2015-12-29 18:00,16.2097,16.2097,16.2097,0.155964,0.539276E-02,0.150979E-01,-270.293,-48.9980,-90.4476,0.00000,262.676,-393.523,27.0000,0.500000,3.00000,4.00000,4.44431,0.00000,0.00000,0.00000,0.00000
360,2015-12-30 00:00,16.1573,16.1573,16.1573,0.127536,0.441024E-02,0.147734E-01,-262.934,-41.2501,-90.7567,9.30000,262.312,-393.238,27.0000,0.500000,3.00000,4.00000,4.42527,0.00000,0.00000,0.00000,0.00000
361,2015-12-30 06:00,16.1082,16.1082,16.1082,0.181705,0.628404E-02,0.00000,-212.912,8.95350,-120.877,471.975,291.982,-392.971,27.0000,0.500000,3.00000,4.00000,4.40737,0.00000,0.00000,0.00000,0.00000
362,2015-12-30 12:00,16.1575,16.1567,16.1082,0.113039,0.390893E-02,0.111201E-01,-245.194,-26.4915,-94.6343,144.150,269.171,-393.239,26.1279,0.500000,3.00000,4.00000,4.40737,0.00000,0.00000,0.00000,0.00000
363,2015-12-30 18:00,16.1366,16.1366,16.1366,0.951573E-01,0.329071E-02,0.146551E-01,-248.685,-34.9513,-79.5878,0.00000,258.979,-393.126,27.0000,0.500000,3.00000,4.00000,4.41772,0.00000,0.00000,0.00000,0.00000
364,2015-12-31 00:00,16.0884,16.0884,16.0884,0.877093E-01,0.303343E-02,0.142015E-01,-235.816,-30.5153,-72.5650,9.30000,260.128,-392.864,27.0000,0.500000,3.00000,4.00000,4.40017,0.00000,0.00000,0.00000,0.00000
365,2015-12-31 06:00,16.0444,16.0444,16.0444,0.239740,0.829211E-02,0.00000,-266.859,3.85235,-167.044,476.625,288.957,-392.625,27.0000,0.500000,3.00000,4.00000,4.38416,0.00000,0.00000,0.00000,0.00000
366,2015-12-31 12:00,16.0835,16.0835,16.0835,0.126264,0.436687E-02,0.115514E-01,-260.096,-30.7627,-104.627,148.800,268.131,-392.837,27.0000,0.500000,3.00000,4.00000,4.39840,0.00000,0.00000,0.00000,0.00000
367,2015-12-31 18:00,16.0615,16.0615,16.0615,0.122337,0.423126E-02,0.146512E-01,-250.032,-35.5775,-86.2083,0.00000,264.471,-392.718,27.0000,0.500000,3.00000,4.00000,4.39038,0.00000,0.00000,0.00000,0.00000
368,2016-01-01 00:00,16.0130,16.0130,16.0130,0.112041,0.387553E-02,0.143857E-01,-246.249,-36.7693,-78.5508,9.30000,261.526,-392.454,27.0000,0.500000,3.00000,4.00000,4.37274,0.00000,0.00000,0.00000,0.00000
369,2016-01-01 06:00,15.9671,15.9671,15.9671,0.235968,0.816288E-02,0.00000,-256.916,8.53692,-163.825,469.650,290.577,-392.205,27.0000,0.500000,3.00000,4.00000,4.35601,0.00000,0.00000,0.00000,0.00000
370,2016-01-01 12:00,16.0067,16.0067,16.0067,0.120562,0.417031E-02,0.120938E-01,-231.683,-16.7623,-98.5210,97.6500,276.021,-392.420,27.0000,0.500000,3.00000,4.00000,4.37045,0.00000,0.00000,0.00000,0.00000
371,2016-01-01 18:00,15.9804,15.9804,15.9804,0.887899E-01,0.307145E-02,0.143915E-01,-238.570,-32.3875,-72.4147,0.00000,258.509,-392.277,27.0000,0.500000,3.00000,4.00000,4.36086,0.00000,0.00000,0.00000,0.00000
372,2016-01-02 00:00,15.9341,15.9341,15.9341,0.926711E-01,0.320600E-02,0.144984E-01,-253.481,-39.7093,-75.4889,9.30000,253.744,-392.026,27.0000,0.500000,3.00000,4.00000,4.34402,0.00000,0.00000,0.00000,0.00000
373,2016-01-02 06:00,15.8868,15.8868,15.8868,0.826312E-01,0.285893E-02,0.00000,-196.030,-7.85021,-75.3548,483.600,278.944,-391.769,27.0000,0.500000,3.00000,4.00000,4.32678,0.00000,0.00000,0.00000,0.00000
374,2016-01-02 12:00,15.9457,15.9407,15.8868,0.757603E-01,0.262090E-02,0.102763E-01,-246.807,-28.1373,-79.4954,155.775,252.915,-392.089,22.4146,0.500000,3.00000,4.00000,4.32678,0.00000,0.00000,0.00000,0.00000
375,2016-01-02 18:00,15.9226,15.9226,15.9226,0.499947E-01,0.172963E-02,0.151646E-01,-280.472,-43.2358,-87.2584,0.00000,241.986,-391.964,27.0000,0.500000,3.00000,4.00000,4.33981,0.00000,0.00000,0.00000,0.00000
376,2016-01-03 00:00,15.8683,15.8683,15.8683,0.529184E-01,0.183097E-02,0.147629E-01,-268.560,-37.9409,-84.3641,9.30000,245.415,-391.669,27.0000,0.500000,3.00000,4.00000,4.32006,0.00000,0.00000,0.00000,0.00000
377,2016-01-03 06:00,15.8181,15.8181,15.8181,0.595528E-01,0.206072E-02,0.00000,-177.394,-2.98677,-59.9909,492.900,276.981,-391.397,27.0000,0.500000,3.00000,4.00000,4.30179,0.00000,0.00000,0.00000,0.00000
378,2016-01-03 12:00,15.8819,15.8774,15.8181,0.489432E-01,0.169338E-02,0.105072E-01,-253.616,-31.1907,-80.9666,158.100,250.284,-391.743,23.1517,0.500000,3.00000,4.00000,4.30179,0.00000,0.00000,0.00000,0.00000
379,2016-01-03 18:00,15.8584,15.8584,15.8584,0.466521E-01,0.161419E-02,0.150426E-01,-275.240,-40.9718,-85.8707,0.00000,243.218,-391.616,27.0000,0.500000,3.00000,4.00000,4.31645,0.00000,0.00000,0.00000,0.00000
380,2016-01-04 00:00,15.8051,15.8051,15.8051,0.530359E-01,0.183526E-02,0.145061E-01,-256.550,-32.7461,-81.3215,9.30000,248.845,-391.327,27.0000,0.500000,3.00000,4.00000,4.29706,0.00000,0.00000,0.00000,0.00000
381,2016-01-04 06:00,15.7572,15.7572,15.7572,0.588426E-01,0.203639E-02,0.00000,-172.536,4.24816,-64.7505,492.900,279.034,-391.067,27.0000,0.500000,3.00000,4.00000,4.27962,0.00000,0.00000,0.00000,0.00000
382,2016-01-04 12:00,15.8221,15.8174,15.7572,0.313841E-01,0.108598E-02,0.106084E-01,-257.637,-26.0969,-87.1387,158.100,247.017,-391.419,23.0892,0.500000,3.00000,4.00000,4.27962,0.00000,0.00000,0.00000,0.00000
383,2016-01-04 18:00,15.7976,15.7976,15.7976,0.569584E-01,0.197103E-02,0.149153E-01,-269.687,-31.1926,-90.3545,0.00000,243.147,-391.286,27.0000,0.500000,3.00000,4.00000,4.29434,0.00000,0.00000,0.00000,0.00000
384,2016-01-05 00:00,15.7454,15.7454,15.7454,0.579748E-01,0.200640E-02,0.143266E-01,-248.668,-22.8004,-84.1865,9.30000,249.323,-391.004,27.0000,0.500000,3.00000,4.00000,4.27534,0.00000,0.00000,0.00000,0.00000
385,2016-01-05 06:00,15.6990,15.6990,15.6990,0.00000,0.632734E-04,0.00000,-98.2308,0.685200E-01,-0.332047,495.225,292.785,-390.753,27.0000,0.500000,3.00000,4.00000,4.25845,0.00000,0.00000,0.00000,0.00000
386,2016-01-05 12:00,15.7742,15.7738,15.6990,0.230337E-01,0.797108E-03,0.993499E-02,-228.956,-15.4241,-77.9686,160.425,255.596,-391.159,26.7819,0.500000,3.00000,4.00000,4.25845,0.00000,0.00000,0.00000,0.00000
387,2016-01-05 18:00,15.7600,15.7600,15.7600,0.428444E-01,0.148272E-02,0.144441E-01,-245.708,-21.6016,-83.3512,0.00000,250.328,-391.083,27.0000,0.500000,3.00000,4.00000,4.28063,0.00000,0.00000,0.00000,0.00000
388,2016-01-06 00:00,15.7124,15.7124,15.7124,0.455515E-01,0.157656E-02,0.138205E-01,-224.727,-14.1497,-76.2799,9.30000,256.528,-390.825,27.0000,0.500000,3.00000,4.00000,4.26330,0.00000,0.00000,0.00000,0.00000
389,2016-01-06 06:00,15.6705,15.6705,15.6705,0.00000,0.302148E-04,0.00000,-87.4632,0.103871,-0.331638,495.225,303.363,-390.598,27.0000,0.500000,3.00000,4.00000,4.24807,0.00000,0.00000,0.00000,0.00000
390,2016-01-06 12:00,15.7475,15.7474,15.6705,0.478087E-01,0.165456E-02,0.856607E-02,-200.013,-6.53797,-66.6690,160.425,264.209,-391.015,26.8860,0.500000,3.00000,4.00000,4.24807,0.00000,0.00000,0.00000,0.00000
391,2016-01-06 18:00,15.7390,15.7390,15.7390,0.119639,0.414052E-02,0.149361E-01,-272.167,-9.20695,-139.005,0.00000,267.014,-390.969,27.0000,0.500000,3.00000,4.00000,4.27301,0.00000,0.00000,0.00000,0.00000
392,2016-01-07 00:00,15.6864,15.6864,15.6864,0.162506,0.562467E-02,0.152820E-01,-301.439,-1.00181,-182.007,9.30000,272.254,-390.684,27.0000,0.500000,3.00000,4.00000,4.25384,0.00000,0.00000,0.00000,0.00000
393,2016-01-07 06:00,15.6299,15.6299,15.6299,0.405242,0.140278E-01,0.00000,-249.696,107.799,-275.722,474.300,308.605,-390.379,27.0000,0.500000,3.00000,4.00000,4.23329,0.00000,0.00000,0.00000,0.00000
394,2016-01-07 12:00,15.6719,15.6719,15.6719,0.174052,0.602448E-02,0.123246E-01,-300.180,-12.2440,-171.964,158.100,274.633,-390.606,27.0000,0.500000,3.00000,4.00000,4.24857,0.00000,0.00000,0.00000,0.00000
395,2016-01-07 18:00,15.6440,15.6440,15.6440,0.126009,0.436181E-02,0.153247E-01,-296.361,-34.5318,-130.649,0.00000,259.275,-390.455,27.0000,0.500000,3.00000,4.00000,4.23842,0.00000,0.00000,0.00000,0.00000
396,2016-01-08 00:00,15.5868,15.5868,15.5868,0.108269,0.374815E-02,0.144752E-01,-259.601,-32.7262,-98.6625,9.30000,261.933,-390.145,27.0000,0.500000,3.00000,4.00000,4.21758,0.00000,0.00000,0.00000,0.00000
397,2016-01-08 06:00,15.5383,15.5383,15.5383,0.227391,0.787277E-02,0.00000,-274.880,25.7470,-201.221,492.900,290.478,-389.884,27.0000,0.500000,3.00000,4.00000,4.19994,0.00000,0.00000,0.00000,0.00000
398,2016-01-08 12:00,15.5790,15.5790,15.5790,0.111644,0.386504E-02,0.110386E-01,-262.078,-21.8575,-115.063,162.750,264.945,-390.104,27.0000,0.500000,3.00000,4.00000,4.21476,0.00000,0.00000,0.00000,0.00000
399,2016-01-08 18:00,15.5593,15.5593,15.5593,0.726650E-01,0.251572E-02,0.145095E-01,-253.379,-25.3205,-84.7827,0.00000,246.721,-389.997,27.0000,0.500000,3.00000,4.00000,4.20758,0.00000,0.00000,0.00000,0.00000
400,2016-01-09 00:00,15.5102,15.5102,15.5102,0.607014E-01,0.210173E-02,0.137697E-01,-226.098,-21.1070,-72.1033,9.30000,256.845,-389.732,27.0000,0.500000,3.00000,4.00000,4.18972,0.00000,0.00000,0.00000,0.00000
401,2016-01-09 06:00,15.4681,15.4681,15.4681,0.00000,0.755072E-04,0.00000,-93.5623,0.364101E-01,-0.221588,481.275,296.128,-389.505,27.0000,0.500000,3.00000,4.00000,4.17440,0.00000,0.00000,0.00000,0.00000
